Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R11	04742371000108	04742371000108	04742371000108	2024	12	0	2910	8868,8	288,24	0	0
R11	04742371000108	04742371000108	04742371000108	2024	12	0	3101	644507,84	27041,41	0	0
R11	04742371000108	04742371000108	04742371000108	2025	01	0	1101	37827,46	5674,12	26448	183213,13
R11	04742371000108	04742371000108	04742371000108	2025	01	0	1201	7396,7	297,48	461	10369,04
R11	04742371000108	04742371000108	04742371000108	2025	01	0	2101	551793,09	45615,68	43120	406692,41
R11	04742371000108	04742371000108	04742371000108	2025	01	0	2201	1163,26	42,23	0	1811,11
R11	04742371000108	04742371000108	04742371000108	2025	01	0	2556	4950,75	312,82	2600	42306,92
R11	04742371000108	04742371000108	04742371000108	2025	01	0	3101	464064,06	17772,2	0	0
R11	04742371000108	04742371000108	04742371000108	2025	02	0	2101	2345713,05	123528,91	0	688267,3
R11	04742371000108	04742371000108	04742371000108	2025	02	0	3101	449577,63	17127,51	0	0
R11	04742371000108	04742371000108	04742371000108	2025	03	0	1201	1294,45	48,54	0	18126,72
R11	04742371000108	04742371000108	04742371000108	2025	03	0	2101	922821,98	82358,57	22471,37	1306332,38
R11	04742371000108	04742371000108	04742371000108	2025	03	0	2556	16526,39	1611,34	0	0
R11	04742371000108	04742371000108	04742371000108	2025	03	0	2911	0,57	0,02	0	0,57
R11	04742371000108	04742371000108	04742371000108	2025	03	0	2949	1668,99	74,19	0	0
R11	04742371000108	04742371000108	04742371000108	2025	04	0	1201	8110,22	302,66	0	11356,93
R11	04742371000108	04742371000108	04742371000108	2025	04	0	2101	2770936,66	105634,08	24085	556948,89
R11	04742371000108	04742371000108	04742371000108	2025	04	0	2201	7660,2	285,51	0	5208,35
R11	04742371000108	04742371000108	04742371000108	2025	04	0	2556	6639,37	431,56	0	6218,21
R11	04742371000108	04742371000108	04742371000108	2025	04	0	2911	1,19	0,04	39,58	0,57
R11	04742371000108	04742371000108	04742371000108	2025	05	0	1201	2484,56	88,51	392	9981,88
R11	04742371000108	04742371000108	04742371000108	2025	05	0	2101	1299485,21	81317,91	68096	665666,98
R11	04742371000108	04742371000108	04742371000108	2025	05	0	2201	402,91	14,17	0	532,19
R11	04742371000108	04742371000108	04742371000108	2025	05	0	2556	2079,84	202,78	0	5607,8
R11	04742371000108	04742371000108	04742371000108	2025	05	0	2949	1083,41	35,21	0	0
R11	04742371000108	04742371000108	04742371000108	2025	06	0	1201	6131,03	225,04	0	5370,64
R11	04742371000108	04742371000108	04742371000108	2025	06	0	2101	1882659,94	110294,87	116746,46	377001,08
R11	04742371000108	04742371000108	04742371000108	2025	06	0	2653	1200	62,4	0	0
R11	04742371000108	04742371000108	04742371000108	2025	06	0	2910	990,5	148,58	1729,8	0
